filename,category,media_type,source_path,thumbnail_path,capture_date,dominant_hex,dominant_weight,dominant_hue,color1_hex,color1_weight,color2_hex,color2_weight,color3_hex,color3_weight,color4_hex,color4_weight,color5_hex,color5_weight,color6_hex,color6_weight
C6844CD6-B37B-4E63-A5A3-40D67ECF4853.JPG,sky,photo,media/sky/C6844CD6-B37B-4E63-A5A3-40D67ECF4853.JPG,thumbnails/C6844CD6-B37B-4E63-A5A3-40D67ECF4853.jpg,2026:08:24 12:36:28,#0f1c4b,0.317,227.0,#0f1c4b,0.317,#1f306f,0.237,#0d0819,0.18,#3b4fa1,0.157,#d0bbbe,0.062,#8e79ad,0.046
E6B530DC-A333-4D15-8D68-EA7F86D9E04D.JPG,sky,photo,media/sky/E6B530DC-A333-4D15-8D68-EA7F86D9E04D.JPG,thumbnails/E6B530DC-A333-4D15-8D68-EA7F86D9E04D.jpg,2026:08:24 12:36:32,#7998b2,0.287,207.4,#7998b2,0.287,#192118,0.251,#93adc3,0.189,#c3bdb6,0.159,#4f534c,0.064,#e4ba94,0.05
EE1E3C05-C89B-455E-807A-1F6B297B0649.JPG,sky,photo,media/sky/EE1E3C05-C89B-455E-807A-1F6B297B0649.JPG,thumbnails/EE1E3C05-C89B-455E-807A-1F6B297B0649.jpg,2026:08:24 12:36:27,#5d6774,0.281,213.9,#5d6774,0.281,#6e7782,0.245,#4a5565,0.148,#2e2922,0.126,#333e4b,0.105,#10100a,0.094
EE67C0B7-7B70-41B6-84B8-12EDFF8064D4.JPG,sky,photo,media/sky/EE67C0B7-7B70-41B6-84B8-12EDFF8064D4.JPG,thumbnails/EE67C0B7-7B70-41B6-84B8-12EDFF8064D4.jpg,2026:08:24 12:36:42,#442913,0.22,26.9,#9e9ca1,0.257,#190f04,0.253,#442913,0.22,#ab907d,0.18,#dfa25c,0.048,#9d632c,0.043
F14356ED-83F5-4F6D-8F68-8A9939CE8210.JPG,sky,photo,media/sky/F14356ED-83F5-4F6D-8F68-8A9939CE8210.JPG,thumbnails/F14356ED-83F5-4F6D-8F68-8A9939CE8210.jpg,2026:08:24 12:36:41,#b7aba7,0.231,15.0,#10120d,0.267,#b7aba7,0.231,#c4c8c6,0.177,#9f938f,0.154,#393833,0.097,#69655f,0.075
FE3C0A19-8E95-439A-9BEF-EA12563A0725.JPG,sky,photo,media/sky/FE3C0A19-8E95-439A-9BEF-EA12563A0725.JPG,thumbnails/FE3C0A19-8E95-439A-9BEF-EA12563A0725.jpg,2026:08:24 12:36:38,#8c94bd,0.169,230.2,#080a0a,0.272,#6f7393,0.176,#8c94bd,0.169,#b68797,0.165,#d1b1c4,0.123,#424453,0.096
IMG-20170327-WA0003.jpg,sky,photo,media/sky/IMG-20170327-WA0003.jpg,thumbnails/IMG-20170327-WA0003.jpg,2026:08:24 12:36:24,#95c7da,0.255,196.5,#95c7da,0.255,#191821,0.254,#e1a389,0.136,#71a5bb,0.126,#bc6c72,0.116,#7a637e,0.114
IMG-20170614-WA0020.jpg,sky,photo,media/sky/IMG-20170614-WA0020.jpg,thumbnails/IMG-20170614-WA0020.jpg,2026:08:24 12:36:25,#1c517e,0.12,207.6,#110e10,0.292,#92a0aa,0.164,#5e7991,0.152,#c9cccc,0.145,#3d4144,0.126,#1c517e,0.12
IMG-20170704-WA0019.jpg,sky,photo,media/sky/IMG-20170704-WA0019.jpg,thumbnails/IMG-20170704-WA0019.jpg,2026:08:24 12:36:25,#c998a6,0.189,342.9,#778495,0.205,#9f9cac,0.192,#170f14,0.191,#c998a6,0.189,#4b6c82,0.134,#57424a,0.089
IMG_1471.HEIC,sky,photo,media/sky/IMG_1471.HEIC,thumbnails/IMG_1471.jpg,2024:12:23 18:35:06,#d28c5c,0.128,24.4,#080707,0.382,#2b2321,0.143,#413f4a,0.137,#d28c5c,0.128,#695c5e,0.11,#9d7e74,0.1
060D668D-F1F3-413D-B204-353A98180C58.JPG,mountain,photo,media/mountain/060D668D-F1F3-413D-B204-353A98180C58.JPG,thumbnails/060D668D-F1F3-413D-B204-353A98180C58.jpg,2026:08:24 11:48:19,#835b40,0.143,24.2,#38332c,0.233,#939eb5,0.224,#7b8395,0.154,#835b40,0.143,#5f697d,0.13,#b2bdd1,0.116
1134C52F-E4FB-4DE0-9485-DF46BD342CD7.JPG,mountain,photo,media/mountain/1134C52F-E4FB-4DE0-9485-DF46BD342CD7.JPG,thumbnails/1134C52F-E4FB-4DE0-9485-DF46BD342CD7.jpg,2026:08:24 11:48:19,#838b9c,0.257,220.8,#737584,0.326,#838b9c,0.257,#696261,0.174,#a7b6bc,0.112,#404134,0.088,#e8ebd3,0.043
4EE54C2A-BC62-470C-A9FD-146797ADE3D3.JPG,mountain,photo,media/mountain/4EE54C2A-BC62-470C-A9FD-146797ADE3D3.JPG,thumbnails/4EE54C2A-BC62-470C-A9FD-146797ADE3D3.jpg,2026:08:24 11:48:09,#4f6687,0.328,215.4,#4f6687,0.328,#2c3828,0.246,#5f7aa0,0.151,#142110,0.127,#4c4e3f,0.105,#83858a,0.043
6883EB61-8BB7-46E3-BA57-718398597586.MP4,mountain,video,media/mountain/6883EB61-8BB7-46E3-BA57-718398597586.MP4,thumbnails/6883EB61-8BB7-46E3-BA57-718398597586.jpg,2026:08:24 11:48:18,#4e6b92,0.257,214.4,#4e6b92,0.257,#365176,0.209,#6d88a8,0.195,#91a7bf,0.182,#bccbda,0.097,#212a35,0.06
944F1498-D70C-4D4E-803E-902E17B05AEF.JPG,mountain,photo,media/mountain/944F1498-D70C-4D4E-803E-902E17B05AEF.JPG,thumbnails/944F1498-D70C-4D4E-803E-902E17B05AEF.jpg,2019:08:10 19:23:36,#9ebed6,0.187,205.7,#bdcbd7,0.283,#0e1c17,0.243,#9ebed6,0.187,#1e373f,0.137,#ddd8d5,0.116,#4a606a,0.033
9CB81102-50FE-4544-9B98-236B0A1B5834.JPG,mountain,photo,media/mountain/9CB81102-50FE-4544-9B98-236B0A1B5834.JPG,thumbnails/9CB81102-50FE-4544-9B98-236B0A1B5834.jpg,2026:08:24 11:48:18,#828ca1,0.224,220.6,#373833,0.236,#828ca1,0.224,#191813,0.221,#a5aebe,0.147,#6d564c,0.087,#cdd3dc,0.084
C20D59F8-8CED-4C9B-8D01-0E58E150D5AA.JPG,mountain,photo,media/mountain/C20D59F8-8CED-4C9B-8D01-0E58E150D5AA.JPG,thumbnails/C20D59F8-8CED-4C9B-8D01-0E58E150D5AA.jpg,2026:08:24 11:48:10,#51668b,0.23,218.3,#091012,0.29,#51668b,0.23,#687997,0.226,#272e32,0.108,#8092aa,0.096,#a59e99,0.051
